1080.SR,1120.SR,1150.SR,1180.SR,1211.SR,2010.SR,2222.SR,2380.SR,7010.SR,8230.SR
15.374617576599121,37.07487106323242,13.320231437683105,28.292247772216797,13.866665840148926,68.22704315185547,23.621145248413086,13.644679069519043,28.3114070892334,25.84000015258789
15.374617576599121,37.13079071044922,13.251106262207031,28.078834533691406,13.816665649414062,67.75650024414062,23.481582641601562,13.252429008483887,27.994016647338867,25.8799991607666
14.885965347290039,36.907108306884766,13.123488426208496,28.04835319519043,13.666666030883789,67.6781005859375,23.30712127685547,13.196393966674805,27.771841049194336,25.600000381469727
14.599928855895996,36.291988372802734,12.921422958374023,27.560558319091797,13.300000190734863,65.95281219482422,23.760704040527344,12.846171379089355,27.549665451049805,25.600000381469727
14.766782760620117,36.23606872558594,12.985231399536133,27.895915985107422,13.416666030883789,65.8743896484375,23.44668960571289,12.818153381347656,27.61313819885254,25.799999237060547
14.838290214538574,35.285430908203125,12.963963508605957,27.62152862548828,13.333333015441895,65.48226928710938,23.342018127441406,12.46792984008789,27.359230041503906,25.520000457763672
14.647599220275879,35.732791900634766,12.910788536071777,27.95688819885254,13.266666412353516,65.5606918334961,23.167560577392578,12.49594783782959,27.29574966430664,25.639999389648438
14.52841567993164,35.56502914428711,12.655550956726074,28.23127555847168,13.149999618530273,64.2275390625,23.0977783203125,11.249155044555664,27.168792724609375,26.31999969482422
14.52841567993164,35.56502914428711,12.655550956726074,28.23127555847168,13.149999618530273,64.2275390625,23.0977783203125,11.249155044555664,27.168792724609375,26.31999969482422
14.373478889465332,35.78871536254883,12.921422958374023,28.078834533691406,13.116665840148926,63.521732330322266,23.0977783203125,10.996994972229004,27.549665451049805,26.600000381469727
14.45690631866455,35.78871536254883,12.889519691467285,27.987377166748047,13.016666412353516,63.36488723754883,23.167560577392578,10.996994972229004,27.61313819885254,26.399999618530273
14.65951919555664,36.291988372802734,13.134122848510742,28.353227615356445,13.566665649414062,65.01175689697266,23.30712127685547,11.389244079589844,27.771841049194336,26.1200008392334
14.52841567993164,36.62751007080078,13.166027069091797,28.475175857543945,13.649999618530273,65.8743896484375,23.481582641601562,11.64140510559082,28.1844539642334,26.1200008392334
14.421152114868164,36.51567077636719,13.01713752746582,28.109331130981445,13.516666412353516,66.26649475097656,23.760704040527344,11.599377632141113,27.61313819885254,26.200000762939453
14.540334701538086,35.1735954284668,12.634283065795898,27.530065536499023,13.0,63.600154876708984,23.30712127685547,10.982986450195312,26.692705154418945,25.200000762939453
14.885965347290039,35.22951126098633,12.581108093261719,27.68250274658203,12.883333206176758,63.521732330322266,23.376909255981445,11.039020538330078,26.438783645629883,25.280000686645508
14.897884368896484,35.117671966552734,12.432217597961426,27.68250274658203,12.883333206176758,62.894344329833984,23.342018127441406,11.067038536071777,26.184877395629883,24.68000030517578
14.897884368896484,35.117671966552734,12.432217597961426,27.01177978515625,12.699999809265137,62.894344329833984,23.272235870361328,11.067038536071777,26.216611862182617,24.68000030517578
14.778701782226562,33.272315979003906,11.943012237548828,25.91423797607422,11.533332824707031,58.03219223022461,22.783761978149414,10.492673873901367,25.677051544189453,24.200000762939453
14.754862785339355,33.384151458740234,11.964282035827637,25.70082664489746,11.333333015441895,58.26747131347656,22.888431549072266,10.450647354125977,25.772258758544922,24.040000915527344
15.315024375915527,34.502559661865234,12.230154037475586,26.280088424682617,11.966666221618652,61.325923919677734,23.06289291381836,10.688798904418945,26.692705154418945,24.68000030517578
14.802536964416504,34.27887725830078,12.166342735290527,25.79229164123535,11.866665840148926,61.56119155883789,23.06289291381836,10.688798904418945,26.692705154418945,24.799999237060547
14.588007926940918,34.11111831665039,12.017457962036133,25.609363555908203,11.600000381469727,61.40435791015625,23.02799415588379,10.366594314575195,26.756179809570312,25.0
13.133974075317383,31.70656394958496,10.81571102142334,23.048429489135742,10.449999809265137,55.28742980957031,20.934545516967773,9.329934120178223,25.486610412597656,22.520000457763672
11.82296085357666,29.134248733520508,10.018091201782227,21.341136932373047,9.416666030883789,50.268428802490234,19.78314208984375,8.405345916748047,24.090087890625,21.1200008392334
12.097082138061523,31.70656394958496,11.01777458190918,21.950881958007812,10.25,54.50320816040039,21.73703384399414,8.965703010559082,25.89922523498535,23.200000762939453
